name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
batman, (bruce wayne),\/wiki\/batman_(bruce_wayne),secret identity,good characters,blue eyes,black hair,male characters,,living characters,3093,"1939, may",1939,
superman, (clark kent),\/wiki\/superman_(clark_kent),secret identity,good characters,blue eyes,black hair,male characters,,living characters,2496,"1986, october",1986,
green lantern, (hal jordan),\/wiki\/green_lantern_(hal_jordan),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,1565,"1959, october",1959,
james gordon, (new earth),\/wiki\/james_gordon_(new_earth),public identity,good characters,brown eyes,white hair,male characters,,living characters,1316,"1987, february",1987,
richard grayson, (new earth),\/wiki\/richard_grayson_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,1237,"1940, april",1940,
wonder woman, (diana prince),\/wiki\/wonder_woman_(diana_prince),public identity,good characters,blue eyes,black hair,female characters,,living characters,1231,"1941, december",1941,
aquaman, (arthur curry),\/wiki\/aquaman_(arthur_curry),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1121,"1941, november",1941,
timothy drake, (new earth),\/wiki\/timothy_drake_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,1095,"1989, august",1989,
dinah laurel lance, (new earth),\/wiki\/dinah_laurel_lance_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,1075,"1969, november",1969,
flash, (barry allen),\/wiki\/flash_(barry_allen),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,1028,"1956, october",1956,
gendertest,,\/wiki\/gendertest,secret identity,good characters,blue eyes,blond hair,female characters,,living characters,1028,"1956, october",1956,
alan scott, (new earth),\/wiki\/alan_scott_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,969,"1940, july",1940,
barbara gordon, (new earth),\/wiki\/barbara_gordon_(new_earth),secret identity,good characters,blue eyes,red hair,female characters,,living characters,951,"1967, january",1967,
jason garrick, (new earth),\/wiki\/jason_garrick_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,living characters,951,"1940, january",1940,
lois lane, (new earth),\/wiki\/lois_lane_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,934,"1938, june",1938,
alfred pennyworth, (new earth),\/wiki\/alfred_pennyworth_(new_earth),public identity,good characters,blue eyes,black hair,male characters,,living characters,930,"1943, april",1943,
carter hall, (new earth),\/wiki\/carter_hall_(new_earth),secret identity,good characters,blue eyes,brown hair,male characters,,living characters,803,"1940, january",1940,
kyle rayner, (new earth),\/wiki\/kyle_rayner_(new_earth),secret identity,good characters,green eyes,black hair,male characters,,living characters,716,"1994, january",1994,
raymond palmer, (new earth),\/wiki\/raymond_palmer_(new_earth),public identity,good characters,brown eyes,,male characters,,living characters,706,"1961, october",1961,
alexander luthor, (new earth),\/wiki\/alexander_luthor_(new_earth),public identity,bad characters,green eyes,,male characters,,living characters,677,"1986, october",1986,
roy harper, (new earth),\/wiki\/roy_harper_(new_earth),secret identity,neutral characters,green eyes,red hair,male characters,,living characters,654,"1941, november",1941,
kara zor-l, (earth-two),\/wiki\/kara_zor-l_(earth-two),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,635,"1976, february",1976,
ted grant, (new earth),\/wiki\/ted_grant_(new_earth),secret identity,,blue eyes,black hair,male characters,,living characters,605,"1942, january",1942,
garfield logan, (new earth),\/wiki\/garfield_logan_(new_earth),public identity,good characters,green eyes,green hair,male characters,,living characters,595,"1965, november",1965,
guy gardner, (new earth),\/wiki\/guy_gardner_(new_earth),public identity,good characters,blue eyes,red hair,male characters,,living characters,593,"1968, march",1968,
victor stone, (new earth),\/wiki\/victor_stone_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,584,"1980, october",1980,
kon-el, (new earth),\/wiki\/kon-el_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,560,"1993, june",1993,
ralph dibny, (new earth),\/wiki\/ralph_dibny_(new_earth),public identity,,blue eyes,red hair,male characters,,deceased characters,558,"1960, may",1960,
james olsen, (new earth),\/wiki\/james_olsen_(new_earth),public identity,good characters,green eyes,red hair,male characters,,living characters,557,"1986, october",1986,
john stewart, (new earth),\/wiki\/john_stewart_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,549,"1971, december",1971,
joker, (new earth),\/wiki\/joker_(new_earth),secret identity,bad characters,green eyes,green hair,male characters,,living characters,517,"1940, june",1940,
franklin rock, (new earth),\/wiki\/franklin_rock_(new_earth),public identity,good characters,blue eyes,,male characters,,living characters,492,"1959, april",1959,
garth, (new earth),\/wiki\/garth_(new_earth),public identity,good characters,purple eyes,black hair,male characters,,deceased characters,487,"1960, february",1960,
rex mason, (new earth),\/wiki\/rex_mason_(new_earth),secret identity,,black eyes,,male characters,,living characters,470,"1965, january",1965,
zatanna zatara, (new earth),\/wiki\/zatanna_zatara_(new_earth),public identity,good characters,blue eyes,black hair,female characters,,living characters,439,"1964, november",1964,
aztar, (new earth),\/wiki\/aztar_(new_earth),secret identity,,white eyes,,male characters,,living characters,436,"1940, february",1940,
theodore kord, (new earth),\/wiki\/theodore_kord_(new_earth),secret identity,,blue eyes,brown hair,male characters,,deceased characters,429,"1986, february",1986,
michael jon carter, (new earth),\/wiki\/michael_jon_carter_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,living characters,427,"1986, february",1986,
cassandra sandsmark, (new earth),\/wiki\/cassandra_sandsmark_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,423,"1996, january",1996,
kent nelson, (new earth),\/wiki\/kent_nelson_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,422,"1940, may",1940,
harvey bullock, (new earth),\/wiki\/harvey_bullock_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,413,"1974, july",1974,
rachel roth, (new earth),\/wiki\/rachel_roth_(new_earth),secret identity,good characters,purple eyes,black hair,female characters,,living characters,399,"1980, october",1980,
helena bertinelli, (new earth),\/wiki\/helena_bertinelli_(new_earth),secret identity,good characters,blue eyes,black hair,female characters,,living characters,393,"1989, april",1989,
wesley dodds, (new earth),\/wiki\/wesley_dodds_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,deceased characters,391,"1939, april",1939,
uxas, (new earth),\/wiki\/uxas_(new_earth),public identity,bad characters,red eyes,,male characters,,deceased characters,388,"1970, december",1970,
nathaniel adam, (new earth),\/wiki\/nathaniel_adam_(new_earth),secret identity,good characters,blue eyes,white hair,male characters,,living characters,386,"1987, march",1987,
ronald raymond, (new earth),\/wiki\/ronald_raymond_(new_earth),secret identity,good characters,blue eyes,,male characters,,living characters,386,"1978, march",1978,
red tornado, (new earth),\/wiki\/red_tornado_(new_earth),secret identity,good characters,green eyes,,male characters,,living characters,374,"1968, august",1968,
john constantine, (new earth),\/wiki\/john_constantine_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,bisexual characters,living characters,371,"1984, june",1984,
albert pratt, (new earth),\/wiki\/albert_pratt_(new_earth),secret identity,good characters,blue eyes,red hair,male characters,,deceased characters,370,"1940, october",1940,
charles mcnider, (new earth),\/wiki\/charles_mcnider_(new_earth),secret identity,,blue eyes,blond hair,male characters,,deceased characters,361,"1941, april",1941,
theodore knight, (new earth),\/wiki\/theodore_knight_(new_earth),secret identity,good characters,brown eyes,brown hair,male characters,,deceased characters,356,"1941, april",1941,
lobo, (new earth),\/wiki\/lobo_(new_earth),public identity,neutral characters,red eyes,black hair,male characters,,living characters,353,"1983, june",1983,
perry white, (new earth),\/wiki\/perry_white_(new_earth),public identity,,blue eyes,brown hair,male characters,,living characters,350,"1986, october",1986,
