name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
spider-man, (peter parker),\/spider-man_(peter_parker),secret identity,good characters,hazel eyes,brown hair,male characters,,living characters,4043,Aug-62,1962
captain america, (steven rogers),\/captain_america_(steven_rogers),public identity,good characters,blue eyes,white hair,male characters,,living characters,3360,Mar-41,1941
wolverine,"(james \""logan\"" howlett)",\/wolverine_(james_%22logan%22_howlett),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,3061,Oct-74,1974
iron man,"(anthony \""tony\"" stark)",\/iron_man_(anthony_%22tony%22_stark),public identity,good characters,blue eyes,black hair,male characters,,living characters,2961,Mar-63,1963
thor, (thor odinson),\/thor_(thor_odinson),no dual identity,good characters,blue eyes,blond hair,male characters,,living characters,2258,Nov-50,1950
benjamin grimm, (earth-616),\/benjamin_grimm_(earth-616),public identity,good characters,blue eyes,no hair,male characters,,living characters,2255,Nov-61,1961
reed richards, (earth-616),\/reed_richards_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,2072,Nov-61,1961
hulk, (robert bruce banner),\/hulk_(robert_bruce_banner),public identity,good characters,brown eyes,brown hair,male characters,,living characters,2017,May-62,1962
scott summers, (earth-616),\/scott_summers_(earth-616),public identity,neutral characters,brown eyes,brown hair,male characters,,living characters,1955,Sep-63,1963
jonathan storm, (earth-616),\/jonathan_storm_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1934,Nov-61,1961
henry mccoy, (earth-616),\/henry_mccoy_(earth-616),public identity,good characters,blue eyes,blue hair,male characters,,living characters,1825,Sep-63,1963
susan storm, (earth-616),\/susan_storm_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,1713,Nov-61,1961
namor mckenzie, (earth-616),\/namor_mckenzie_(earth-616),no dual identity,neutral characters,green eyes,black hair,male characters,,living characters,1528,,
ororo munroe, (earth-616),\/ororo_munroe_(earth-616),public identity,good characters,blue eyes,white hair,female characters,,living characters,1512,May-75,1975
clinton barton, (earth-616),\/clinton_barton_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1394,Sep-64,1964
matthew murdock, (earth-616),\/matthew_murdock_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,living characters,1338,Apr-64,1964
stephen strange, (earth-616),\/stephen_strange_(earth-616),public identity,good characters,grey eyes,black hair,male characters,,living characters,1307,Jul-63,1963
mary jane watson, (earth-616),\/mary_jane_watson_(earth-616),no dual identity,good characters,green eyes,red hair,female characters,,living characters,1304,Jun-65,1965
john jonah jameson, (earth-616),\/john_jonah_jameson_(earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,,living characters,1266,Mar-63,1963
robert drake, (earth-616),\/robert_drake_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,1265,Sep-63,1963
henry pym, (earth-616),\/henry_pym_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1237,Jan-62,1962
charles xavier, (earth-616),\/charles_xavier_(earth-616),public identity,good characters,blue eyes,bald,male characters,,deceased characters,1233,Sep-63,1963
warren worthington iii, (earth-616),\/warren_worthington_iii_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1230,Sep-63,1963
piotr rasputin, (earth-616),\/piotr_rasputin_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,living characters,1162,May-75,1975
wanda maximoff, (earth-616),\/wanda_maximoff_(earth-616),public identity,good characters,green eyes,brown hair,female characters,,living characters,1161,Mar-64,1964
nicholas fury, (earth-616),\/nicholas_fury_(earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,,living characters,1137,May-63,1963
janet van dyne, (earth-616),\/janet_van_dyne_(earth-616),public identity,good characters,blue eyes,auburn hair,female characters,,living characters,1120,Jun-63,1963
jean grey, (earth-616),\/jean_grey_(earth-616),public identity,good characters,green eyes,red hair,female characters,,deceased characters,1107,Sep-63,1963
natalia romanova, (earth-616),\/natalia_romanova_(earth-616),public identity,good characters,green eyes,red hair,female characters,bisexual characters,living characters,1050,Apr-64,1964
kurt wagner, (earth-616),\/kurt_wagner_(earth-616),secret identity,good characters,yellow eyes,blue hair,male characters,,living characters,1047,May-75,1975
vision, (earth-616),\/vision_(earth-616),secret identity,good characters,gold eyes,no hair,male characters,,living characters,1007,Oct-68,1968
may reilly, (earth-616),\/may_reilly_(earth-616),no dual identity,good characters,blue eyes,grey hair,female characters,,living characters,1000,Aug-62,1962
katherine pryde, (earth-616),\/katherine_pryde_(earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,,living characters,886,Jan-80,1980
carol danvers, (earth-616),\/carol_danvers_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,881,Mar-68,1968
jennifer walters, (earth-616),\/jennifer_walters_(earth-616),public identity,good characters,green eyes,brown hair,female characters,,living characters,881,Feb-80,1980
emma frost, (earth-616),\/emma_frost_(earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,,living characters,880,Jan-80,1980
frank castle, (earth-616),\/frank_castle_(earth-616),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,878,Feb-74,1974
luke cage, (earth-616),\/luke_cage_(earth-616),no dual identity,good characters,brown eyes,black hair,male characters,,living characters,856,Jun-72,1972
rogue, (anna marie),\/rogue_(anna_marie)_(earth-616),secret identity,good characters,green eyes,auburn hair,female characters,,living characters,850,,
conan, (earth-616),\/conan_(earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,,living characters,787,Oct-70,1970
joseph robertson, (earth-616),\/joseph_robertson_(earth-616),no dual identity,good characters,brown eyes,white hair,male characters,,living characters,752,Aug-67,1967
pietro maximoff, (earth-616),\/pietro_maximoff_(earth-616),public identity,good characters,blue eyes,silver hair,male characters,,living characters,740,Mar-64,1964
hercules, (earth-616),\/hercules_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,bisexual characters,living characters,725,Oct-65,1965
victor von doom, (earth-616),\/victor_von_doom_(earth-616),public identity,bad characters,brown eyes,brown hair,male characters,,living characters,721,Jul-62,1962
max eisenhardt, (earth-616),\/max_eisenhardt_(earth-616),public identity,neutral characters,grey eyes,bald,male characters,,living characters,709,Sep-63,1963
elizabeth braddock, (earth-616),\/elizabeth_braddock_(earth-616),secret identity,neutral characters,blue eyes,purple hair,female characters,bisexual characters,living characters,708,Dec-76,1976
norrin radd, (earth-616),\/norrin_radd_(earth-616),public identity,good characters,blue eyes,bald,male characters,,living characters,696,Mar-66,1966
norman osborn, (earth-616),\/norman_osborn_(earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,,living characters,692,Jul-64,1964
eugene thompson, (earth-616),\/eugene_thompson_(earth-616),secret identity,good characters,blue eyes,strawberry blond hair,male characters,,living characters,689,Aug-62,1962
simon williams, (earth-616),\/simon_williams_(earth-616),public identity,good characters,red eyes,grey hair,male characters,,living characters,686,Oct-64,1964
samuel guthrie, (earth-616),\/samuel_guthrie_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,657,Nov-82,1982
james buchanan barnes, (earth-616),\/james_buchanan_barnes_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,641,Mar-41,1941
remy lebeau, (earth-616),\/remy_lebeau_(earth-616),secret identity,good characters,black eyeballs,brown hair,male characters,,living characters,636,Jul-90,1990
daniel rand, (earth-616),\/daniel_rand_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,618,May-74,1974
nathan summers, (earth-616),\/nathan_summers_(earth-616),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,612,Jan-86,1986
elizabeth brant, (earth-616),\/elizabeth_brant_(earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,,living characters,599,Sep-63,1963
richard jones, (earth-616),\/richard_jones_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,590,May-62,1962
edwin jarvis, (earth-616),\/edwin_jarvis_(earth-616),no dual identity,good characters,blue eyes,white hair,male characters,,living characters,567,Nov-64,1964
alexander summers, (earth-616),\/alexander_summers_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,558,Mar-69,1969
patricia walker, (earth-616),\/patricia_walker_(earth-616),secret identity,good characters,blue eyes,red hair,female characters,,living characters,550,Nov-44,1944
human torch, (earth-616),\/human_torch_(android)_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,548,Oct-39,1939
