id,name,full-name,identity,align,eye,hair,sex,alive,appearances,first appearance,year
1,batman, (bruce wayne),secret identity,good characters,blue eyes,black hair,male characters,living characters,3093,"1939, may",1939.0
2,superman, (clark kent),secret identity,good characters,blue eyes,black hair,male characters,living characters,2496,"1986, october",1986.0
3,green lantern, (hal jordan),secret identity,good characters,brown eyes,brown hair,male characters,living characters,1565,"1959, october",1959.0
4,james gordon, (new earth),public identity,good characters,brown eyes,white hair,male characters,living characters,1316,"1987, february",1987.0
5,richard grayson, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,1237,"1940, april",1940.0
6,wonder woman, (diana prince),public identity,good characters,blue eyes,black hair,female characters,living characters,1231,"1941, december",1941.0
7,aquaman, (arthur curry),public identity,good characters,blue eyes,blond hair,male characters,living characters,1121,"1941, november",1941.0
8,timothy drake, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,1095,"1989, august",1989.0
9,dinah laurel lance, (new earth),public identity,good characters,blue eyes,blond hair,female characters,living characters,1075,"1969, november",1969.0
10,flash, (barry allen),secret identity,good characters,blue eyes,blond hair,male characters,living characters,1028,"1956, october",1956.0
12,alan scott, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,969,"1940, july",1940.0
13,barbara gordon, (new earth),secret identity,good characters,blue eyes,red hair,female characters,living characters,951,"1967, january",1967.0
14,jason garrick, (new earth),public identity,good characters,blue eyes,brown hair,male characters,living characters,951,"1940, january",1940.0
15,lois lane, (new earth),public identity,good characters,blue eyes,black hair,female characters,living characters,934,"1938, june",1938.0
16,alfred pennyworth, (new earth),public identity,good characters,blue eyes,black hair,male characters,living characters,930,"1943, april",1943.0
17,carter hall, (new earth),secret identity,good characters,blue eyes,brown hair,male characters,living characters,803,"1940, january",1940.0
18,kyle rayner, (new earth),secret identity,good characters,green eyes,black hair,male characters,living characters,716,"1994, january",1994.0
19,raymond palmer, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,706,"1961, october",1961.0
20,alexander luthor, (new earth),public identity,bad characters,green eyes,Unknown,male characters,living characters,677,"1986, october",1986.0
21,roy harper, (new earth),secret identity,neutral characters,green eyes,red hair,male characters,living characters,654,"1941, november",1941.0
22,kara zor-l, (earth-two),secret identity,good characters,blue eyes,blond hair,female characters,living characters,635,"1976, february",1976.0
23,ted grant, (new earth),secret identity,Unknown,blue eyes,black hair,male characters,living characters,605,"1942, january",1942.0
24,garfield logan, (new earth),public identity,good characters,green eyes,green hair,male characters,living characters,595,"1965, november",1965.0
25,guy gardner, (new earth),public identity,good characters,blue eyes,red hair,male characters,living characters,593,"1968, march",1968.0
26,victor stone, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,584,"1980, october",1980.0
27,kon-el, (new earth),secret identity,good characters,blue eyes,black hair,male characters,living characters,560,"1993, june",1993.0
29,james olsen, (new earth),public identity,good characters,green eyes,red hair,male characters,living characters,557,"1986, october",1986.0
30,john stewart, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,549,"1971, december",1971.0
31,joker, (new earth),secret identity,bad characters,green eyes,green hair,male characters,living characters,517,"1940, june",1940.0
33,garth, (new earth),public identity,good characters,purple eyes,black hair,male characters,deceased characters,487,"1960, february",1960.0
35,zatanna zatara, (new earth),public identity,good characters,blue eyes,black hair,female characters,living characters,439,"1964, november",1964.0
38,michael jon carter, (new earth),public identity,good characters,blue eyes,blond hair,male characters,living characters,427,"1986, february",1986.0
39,cassandra sandsmark, (new earth),public identity,good characters,blue eyes,blond hair,female characters,living characters,423,"1996, january",1996.0
40,kent nelson, (new earth),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,422,"1940, may",1940.0
41,harvey bullock, (new earth),public identity,good characters,brown eyes,black hair,male characters,living characters,413,"1974, july",1974.0
42,rachel roth, (new earth),secret identity,good characters,purple eyes,black hair,female characters,living characters,399,"1980, october",1980.0
43,helena bertinelli, (new earth),secret identity,good characters,blue eyes,black hair,female characters,living characters,393,"1989, april",1989.0
44,wesley dodds, (new earth),secret identity,good characters,brown eyes,brown hair,male characters,deceased characters,391,"1939, april",1939.0
