id,name,full-name,identity,align,eye,hair,sex,alive,appearances,first appearance,year
1,spider-man, (peter parker),secret identity,good characters,hazel eyes,brown hair,male characters,living characters,4043.0,Aug-62,1962.0
2,captain america, (steven rogers),public identity,good characters,blue eyes,white hair,male characters,living characters,3360.0,Mar-41,1941.0
3,wolverine,"(james \""logan\"" howlett)",public identity,neutral characters,blue eyes,black hair,male characters,living characters,3061.0,Oct-74,1974.0
4,iron man,"(anthony \""tony\"" stark)",public identity,good characters,blue eyes,black hair,male characters,living characters,2961.0,Mar-63,1963.0
5,thor, (thor odinson),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,2258.0,Nov-50,1950.0
6,benjamin grimm, (earth-616),public identity,good characters,blue eyes,no hair,male characters,living characters,2255.0,Nov-61,1961.0
7,reed richards, (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,2072.0,Nov-61,1961.0
8,hulk, (robert bruce banner),public identity,good characters,brown eyes,brown hair,male characters,living characters,2017.0,May-62,1962.0
9,scott summers, (earth-616),public identity,neutral characters,brown eyes,brown hair,male characters,living characters,1955.0,Sep-63,1963.0
10,jonathan storm, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1934.0,Nov-61,1961.0
11,henry mccoy, (earth-616),public identity,good characters,blue eyes,blue hair,male characters,living characters,1825.0,Sep-63,1963.0
12,susan storm, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,1713.0,Nov-61,1961.0
14,ororo munroe, (earth-616),public identity,good characters,blue eyes,white hair,female characters,living characters,1512.0,May-75,1975.0
15,clinton barton, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1394.0,Sep-64,1964.0
16,matthew murdock, (earth-616),public identity,good characters,blue eyes,red hair,male characters,living characters,1338.0,Apr-64,1964.0
17,stephen strange, (earth-616),public identity,good characters,grey eyes,black hair,male characters,living characters,1307.0,Jul-63,1963.0
18,mary jane watson, (earth-616),no dual identity,good characters,green eyes,red hair,female characters,living characters,1304.0,Jun-65,1965.0
19,john jonah jameson, (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,1266.0,Mar-63,1963.0
20,robert drake, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,1265.0,Sep-63,1963.0
21,henry pym, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1237.0,Jan-62,1962.0
22,charles xavier, (earth-616),public identity,good characters,blue eyes,bald,male characters,deceased characters,1233.0,Sep-63,1963.0
23,warren worthington iii, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1230.0,Sep-63,1963.0
24,piotr rasputin, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,1162.0,May-75,1975.0
25,wanda maximoff, (earth-616),public identity,good characters,green eyes,brown hair,female characters,living characters,1161.0,Mar-64,1964.0
26,nicholas fury, (earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,living characters,1137.0,May-63,1963.0
27,janet van dyne, (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,1120.0,Jun-63,1963.0
28,jean grey, (earth-616),public identity,good characters,green eyes,red hair,female characters,deceased characters,1107.0,Sep-63,1963.0
29,natalia romanova, (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,1050.0,Apr-64,1964.0
30,kurt wagner, (earth-616),secret identity,good characters,yellow eyes,blue hair,male characters,living characters,1047.0,May-75,1975.0
31,vision, (earth-616),secret identity,good characters,gold eyes,no hair,male characters,living characters,1007.0,Oct-68,1968.0
32,may reilly, (earth-616),no dual identity,good characters,blue eyes,grey hair,female characters,living characters,1000.0,Aug-62,1962.0
33,katherine pryde, (earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,living characters,886.0,Jan-80,1980.0
34,carol danvers, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,881.0,Mar-68,1968.0
35,jennifer walters, (earth-616),public identity,good characters,green eyes,brown hair,female characters,living characters,881.0,Feb-80,1980.0
36,emma frost, (earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,living characters,880.0,Jan-80,1980.0
37,frank castle, (earth-616),public identity,neutral characters,blue eyes,black hair,male characters,living characters,878.0,Feb-74,1974.0
38,luke cage, (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,856.0,Jun-72,1972.0
40,conan, (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,787.0,Oct-70,1970.0
41,joseph robertson, (earth-616),no dual identity,good characters,brown eyes,white hair,male characters,living characters,752.0,Aug-67,1967.0
42,pietro maximoff, (earth-616),public identity,good characters,blue eyes,silver hair,male characters,living characters,740.0,Mar-64,1964.0
43,hercules, (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,living characters,725.0,Oct-65,1965.0
44,victor von doom, (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,721.0,Jul-62,1962.0
45,max eisenhardt, (earth-616),public identity,neutral characters,grey eyes,bald,male characters,living characters,709.0,Sep-63,1963.0
46,elizabeth braddock, (earth-616),secret identity,neutral characters,blue eyes,purple hair,female characters,living characters,708.0,Dec-76,1976.0
47,norrin radd, (earth-616),public identity,good characters,blue eyes,bald,male characters,living characters,696.0,Mar-66,1966.0
48,norman osborn, (earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,living characters,692.0,Jul-64,1964.0
49,eugene thompson, (earth-616),secret identity,good characters,blue eyes,strawberry blond hair,male characters,living characters,689.0,Aug-62,1962.0
50,simon williams, (earth-616),public identity,good characters,red eyes,grey hair,male characters,living characters,686.0,Oct-64,1964.0
51,samuel guthrie, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,657.0,Nov-82,1982.0
52,james buchanan barnes, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,641.0,Mar-41,1941.0
53,remy lebeau, (earth-616),secret identity,good characters,black eyeballs,brown hair,male characters,living characters,636.0,Jul-90,1990.0
54,daniel rand, (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,618.0,May-74,1974.0
55,nathan summers, (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,612.0,Jan-86,1986.0
56,elizabeth brant, (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,599.0,Sep-63,1963.0
