id,name,full-name,identity,align,eye,hair,sex,alive,appearances,first appearance,year
1,spider-man, (peter parker),secret identity,good characters,hazel eyes,brown hair,male characters,living characters,4043,Aug-62,1962
2,captain america, (steven rogers),public identity,good characters,blue eyes,white hair,male characters,living characters,3360,Mar-41,1941
3,wolverine,"(james \""logan\"" howlett)",public identity,neutral characters,blue eyes,black hair,male characters,living characters,3061,Oct-74,1974
4,iron man,"(anthony \""tony\"" stark)",public identity,good characters,blue eyes,black hair,male characters,living characters,2961,Mar-63,1963
5,thor, (thor odinson),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,2258,Nov-50,1950
6,benjamin grimm, (earth-616),public identity,good characters,blue eyes,no hair,male characters,living characters,2255,Nov-61,1961
7,reed richards, (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,2072,Nov-61,1961
8,hulk, (robert bruce banner),public identity,good characters,brown eyes,brown hair,male characters,living characters,2017,May-62,1962
9,scott summers, (earth-616),public identity,neutral characters,brown eyes,brown hair,male characters,living characters,1955,Sep-63,1963
10,jonathan storm, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1934,Nov-61,1961
11,henry mccoy, (earth-616),public identity,good characters,blue eyes,blue hair,male characters,living characters,1825,Sep-63,1963
12,susan storm, (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,1713,Nov-61,1961
13,namor mckenzie, (earth-616),no dual identity,neutral characters,green eyes,black hair,male characters,living characters,1528,,
14,ororo munroe, (earth-616),public identity,good characters,blue eyes,white hair,female characters,living characters,1512,May-75,1975
15,clinton barton, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1394,Sep-64,1964
16,matthew murdock, (earth-616),public identity,good characters,blue eyes,red hair,male characters,living characters,1338,Apr-64,1964
17,stephen strange, (earth-616),public identity,good characters,grey eyes,black hair,male characters,living characters,1307,Jul-63,1963
18,mary jane watson, (earth-616),no dual identity,good characters,green eyes,red hair,female characters,living characters,1304,Jun-65,1965
19,john jonah jameson, (earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,living characters,1266,Mar-63,1963
20,robert drake, (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,1265,Sep-63,1963
21,henry pym, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1237,Jan-62,1962
22,charles xavier, (earth-616),public identity,good characters,blue eyes,bald,male characters,deceased characters,1233,Sep-63,1963
23,warren worthington iii, (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1230,Sep-63,1963
24,piotr rasputin, (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,1162,May-75,1975
25,wanda maximoff, (earth-616),public identity,good characters,green eyes,brown hair,female characters,living characters,1161,Mar-64,1964
26,nicholas fury, (earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,living characters,1137,May-63,1963
27,janet van dyne, (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,1120,Jun-63,1963
