id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
1,A-Bomb,38.0,100.0,17.0,80.0,24.0,64.0,Richard Milhouse Jones,No alter egos found.,['Rick Jones'],"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,Male,Human,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",-,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
2,Abe Sapien,88.0,28.0,35.0,65.0,100.0,85.0,Abraham Sapien,No alter egos found.,"['Langdon Everett Caul', 'Abraham Sapien', 'Langdon Caul']",-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Male,Icthyo Sapien,"[""6'3"", '191 cm']","['145 lb', '65 kg']",Blue,No Hair,Paranormal Investigator,-,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
4,Abomination,63.0,80.0,53.0,90.0,62.0,95.0,Emil Blonsky,No alter egos found.,"['Agent R-7', 'Ravager of Worlds']","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,Male,Human / Radiation,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Green,No Hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
5,Abraxas,88.0,63.0,83.0,100.0,100.0,55.0,Abraxas,No alter egos found.,['-'],Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Male,Cosmic Entity,"['-', '0 cm']","['- lb', '0 kg']",Blue,Black,Dimensional destroyer,-,Cosmic Beings,"Eternity (""Father"")",https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
6,Absorbing Man,38.0,80.0,25.0,100.0,98.0,64.0,Carl Creel,No alter egos found.,"['Greithoth', '""Crusher"" Creel', 'Rocky Davis', 'Dynamite Davis', 'Lightningbolt', 'Prisoner #24957']","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['270 lb', '122 kg']",Blue,No Hair,Professional criminal; former professional boxer,-,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
8,Adam Strange,69.0,10.0,33.0,40.0,37.0,50.0,Adam Strange,No alter egos found.,"['Warrior of Two Worlds', 'Savior of Rann']","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,Male,Human,"[""6'1"", '185 cm']","['195 lb', '88 kg']",Blue,Blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
10,Agent Bob,10.0,8.0,13.0,5.0,5.0,20.0,Bob,No alter egos found.,"['Bob', 'agent of Hydra', 'Bob', 'agent of A.I.M']",-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['181 lb', '81 kg']",Brown,Brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
13,Ajax,56.0,48.0,35.0,80.0,34.0,55.0,Francis,No alter egos found.,"['""Frankie""', 'the A-Man', 'the Attending']",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Male,Cyborg,"[""6'4"", '193 cm']","['200 lb', '90 kg']",Brown,Black,-,-,Formerly Weapon X,-,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
15,Alex Mercer,50.0,80.0,42.0,90.0,100.0,50.0,Alexander J. Mercer,No alter egos found.,"['Prototype', 'Zues', 'Blacklight']",-,-,Wildstorm,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,"Gentek, The Infected",Dana Mercer (sister),https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
17,Alfred Pennyworth,63.0,10.0,17.0,10.0,7.0,55.0,Alfred Thaddeus Crane Pennyworth,No alter egos found.,['Alfred Beagle'],-,"Batman #16 (April, 1943)",DC Comics,good,Male,Human,"[""5'10"", '178 cm']","['160 lb', '72 kg']",Blue,Black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
18,Alien,50.0,28.0,42.0,90.0,57.0,60.0,Xenomorph,No alter egos found.,['-'],Your chest :),Alien (1979),Dark Horse Comics,bad,Male,Xenomorph XX121,"[""8'0"", '244 cm']","['375 lb', '169 kg']",-,No Hair,-,-,-,Alien Queen (mother),https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
23,Angel,75.0,30.0,58.0,90.0,100.0,75.0,Liam,No alter egos found.,"['Angelus', 'Twilight']",-,-,Dark Horse Comics,good,Male,Vampire,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,"Kathy (sister), Connor (son), Twilight (""child"")",https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
25,Angel Dust,38.0,55.0,23.0,42.0,17.0,30.0,Christina,No alter egos found.,"['Angel', 'Dusty']",-,Morlocks #1,Marvel Comics,good,Female,Mutant,"[""5'5"", '165 cm']","['126 lb', '57 kg']",Yellow,Black,-,"Chicago, Illinois",-,-,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
28,Animal Man,56.0,48.0,47.0,85.0,73.0,80.0,Bernhard Baker,No alter egos found.,['The Human Zoo; A-Man; The Man with Animal Powers'],-,"Strange Adventures #180 (September, 1965)",DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['185 lb', '83 kg']",Blue,Blond,-,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
30,Ant-Man,100.0,18.0,23.0,28.0,32.0,32.0,Hank Pym,"Giant-Man, Goliath, Wasp II, Yellowjacket","['Hank Pym', 'Doctor Pym', 'Ant-Man', 'Goliath', 'Yellowjacket', 'Wasp', ""Earth's Scientist Supreme""]","Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Giant-Man,good,Male,Human,"[""6'11"", '211 cm']","['270 lb', '122 kg']",Blue,Blond,"Adventurer, Biochemist, former manager of Avengers Compound","Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",-,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
31,Ant-Man II,75.0,18.0,17.0,40.0,53.0,30.0,Scott Lang,No alter egos found.,"['Myrmidon', 'Scott Edward Harris Lang']","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",Blue,Blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
